name,state,address,phone,type,lat,lon,photo,opening_event,
Fridayforfuture Ängelholm,,"Ängelholm Skåne län, Sverige",,office,56.2429,12.8619,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Kristianstad,,"Kristianstad Skåne län, Sverige",,office,56.0294,14.1567,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Robertsfors,,"Robertsfors kommun Västerbottens län, Sverige",,office,64.1933,20.8543,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Enköping,,"Enköping Uppsala län, Sverige",,office,59.6356,17.0779,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Boden,,"Boden Norrbottens län, Sverige",,office,65.8275,21.6964,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Örnsköldsvik,,"Örnsköldsvik Västernorrlands län, Sverige",,office,63.2889,18.716,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Salem,,"Salem Stockholms län, Sverige",,office,59.2019,17.7647,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Hallsberg,,"Hallsberg Örebro län, Sverige",,office,59.066,15.1089,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Trosa,,"Trosa kommun Södermanlands län, Sverige",,office,58.8967,17.5478,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Vallentuna,,"Vallentuna kommun Stockholms län, Sverige",,office,59.5332,18.0765,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Solna,,"Solna kommun Stockholms län, Sverige",,office,59.3614,18.0014,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Mullsjö,,"Mullsjö Jönköpings län, Sverige",,office,57.9168,13.8805,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Bergsjö,,"Bergsjö Gävleborgs län, Sverige",,office,61.9838,17.0584,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Varberg,,"Varberg Hallands län, Sverige",,office,57.1057,12.2503,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Helsingborg,,"Helsingborg Skåne län, Sverige",,office,56.0442,12.7041,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Gnesta,,"Gnesta kommun Södermanlands län, Sverige",,office,59.0454,17.309,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Simrishamn,,"Simrishamn Skåne län, Sverige",,office,55.5566,14.35,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Huddinge,,"Huddinge kommun  Stockholms län, Sverige",,office,59.2294,17.9749,,https://www.facebook.com/groups/929294497203110/,
